SNPName	SNPChr	SNPChrPos	ProbeName	ProbeChr	ProbeCenterChrPos	OverallZScore
cg07772999	2	113993052	ENSG00000189223	2	113996843	38.1698776
cg03085549	16	75150819	ENSG00000166816	16	75148213	38.9755327
cg24429836	16	75150744	ENSG00000166816	16	75148213	40.2115885
cg16540789	16	75150736	ENSG00000166816	16	75148213	40.2841646
cg07320140	16	75150563	ENSG00000166816	16	75148213	40.5187656
cg19083407	2	113993094	ENSG00000189223	2	113996843	40.6702502
cg12889195	2	113992795	ENSG00000189223	2	113996843	40.6834514
cg03991512	16	75150408	ENSG00000166816	16	75148213	40.9878098
cg02675527	2	114030824	ENSG00000189223	2	113996843	41.3332167
cg17445212	2	113993265	ENSG00000189223	2	113996843	41.4914864
cg07594247	2	113993256	ENSG00000189223	2	113996843	41.5113831
cg09899215	16	75150751	ENSG00000166816	16	75148213	41.7586966
cg21482265	2	113992714	ENSG00000189223	2	113996843	42.0803947
cg23564664	2	113997869	ENSG00000189223	2	113996843	-37.4005212
cg23985995	10	105421201	ENSG00000107957	10	105481793	-37.3818514
cg04388244	10	105421005	ENSG00000107957	10	105481793	-37.0826683
cg09704166	2	114031806	ENSG00000189223	2	113996843	36.4964427
cg06809675	12	54867264	ENSG00000170627	12	54858560	-36.3763323
cg05280698	19	37825340	ENSG00000181666	19	37832003	-35.3877294
cg13564061	10	105421480	ENSG00000107957	10	105481793	-35.3763354
cg10088332	12	54867381	ENSG00000170627	12	54858560	-35.2333135
cg24834889	19	37825406	ENSG00000181666	19	37832003	-35.0823254
cg06620993	10	105420783	ENSG00000107957	10	105481793	-34.7116785
cg09397359	3	48694673	ENSG00000008300	3	48687125	-33.6226237
cg15142694	3	48694534	ENSG00000008300	3	48687125	-33.109108
cg14099457	3	49170746	ENSG00000172037	3	49164549	32.9561152
cg05654765	3	49170727	ENSG00000172037	3	49164549	32.3865111
cg18211706	12	54867284	ENSG00000170627	12	54858560	-32.3644558
cg02954987	3	49170599	ENSG00000172037	3	49164549	32.2563433
cg02222844	3	48694451	ENSG00000008300	3	48687125	32.0895431
cg21550016	2	113992930	ENSG00000189223	2	113996843	32.0313614
cg12948621	19	37825398	ENSG00000181666	19	37832003	-31.9849863
cg25125450	22	32601226	ENSG00000214076	22	32667232	31.7121458
cg13687570	19	37825320	ENSG00000181666	19	37832003	-31.5856232
cg24027100	19	36822549	ENSG00000232677	19	36813294	31.5467899
cg20451566	12	54867406	ENSG00000170627	12	54858560	-31.514313
cg03234186	19	58220657	ENSG00000179909	19	58214657	-31.4758117
cg01919208	3	49170448	ENSG00000172037	3	49164549	-31.3522159
cg22299467	19	58399817	ENSG00000196724	19	58440006	-31.3459712
cg04439622	14	105944942	ENSG00000182809	14	105942899	-31.1988201
cg11763394	2	113992921	ENSG00000189223	2	113996843	30.7579314
cg17188169	6	74104388	ENSG00000080007	6	74115881	-30.4292787
cg08234664	3	49170668	ENSG00000172037	3	49164549	30.195238
cg12506930	19	58220718	ENSG00000179909	19	58214657	-30.1709074
cg06285241	14	105944607	ENSG00000182809	14	105942899	-30.0992612
cg19903927	15	23811369	ENSG00000179455	15	23841759	-30.0855803
cg23448505	19	37825960	ENSG00000181666	19	37832003	29.9849585
cg03669949	6	74104426	ENSG00000080007	6	74115881	-29.7379803
cg12045875	6	74104546	ENSG00000080007	6	74115881	-29.6475875
cg11566975	3	49170849	ENSG00000172037	3	49164549	29.6134483
cg06797068	6	74104552	ENSG00000080007	6	74115881	-29.3294676
cg27049766	19	58220516	ENSG00000179909	19	58214657	-29.2967796
cg11100640	15	23810861	ENSG00000179455	15	23841759	-29.1522148
cg03758367	12	54867494	ENSG00000170627	12	54858560	-29.1289525
cg08668790	19	58220662	ENSG00000179909	19	58214657	29.1066379
cg08640901	3	48694454	ENSG00000008300	3	48687125	28.9624775
cg26734888	19	37825307	ENSG00000181666	19	37832003	28.7164091
cg27279301	14	105945287	ENSG00000182809	14	105942899	-28.7142959
cg11294513	19	58220295	ENSG00000179909	19	58214657	-28.6408221
cg16143502	6	74104753	ENSG00000080007	6	74115881	-28.628857
cg15746696	19	58400494	ENSG00000196724	19	58440006	28.614038
cg26494441	22	32601101	ENSG00000214076	22	32667232	28.5653267
cg18673377	19	58446850	ENSG00000196724	19	58440006	28.4167373
cg13244312	14	71109659	ENSG00000133985	14	71125290	-28.3704975
cg21610815	2	113994035	ENSG00000189223	2	113996843	28.0899126
cg08124399	6	74104820	ENSG00000080007	6	74115881	-28.0307772
cg20576002	12	54867653	ENSG00000170627	12	54858560	27.9829572
cg04329125	14	105945022	ENSG00000182809	14	105942899	-27.9643373
cg22472290	19	52391432	ENSG00000161551	19	52376629	27.7149277
cg13667739	14	105944604	ENSG00000182809	14	105942899	-27.5707977
cg23234999	15	23811205	ENSG00000179455	15	23841759	27.3556008
cg27324426	19	58220789	ENSG00000179909	19	58214657	26.930593
cg11788523	19	58446722	ENSG00000196724	19	58440006	26.7934465
cg22404498	22	32600674	ENSG00000214076	22	32667232	-26.6992668
cg04329870	2	87048699	ENSG00000172116	2	87065754	26.6828529
cg26465391	19	58220773	ENSG00000179909	19	58214657	26.6456085
cg07332563	6	291639	ENSG00000112679	6	321726	-26.6142652
cg04647790	13	52419217	ENSG00000102796	13	52360211	26.6117796
cg07100532	18	713085	ENSG00000132199	18	692609	26.3934853
cg12743398	16	28609531	ENSG00000196502	16	28625924	26.2162912
cg14166009	19	37825309	ENSG00000181666	19	37832003	26.1586517
cg08926642	1	7887455	ENSG00000049246	1	7874808	-25.9890615
cg13393830	19	52391605	ENSG00000161551	19	52376629	25.7032718
cg22510337	19	58399967	ENSG00000196724	19	58440006	25.6930287
cg09715285	2	220108219	ENSG00000163521	2	220105764	-25.634407
cg04927537	17	76976043	ENSG00000108679	17	76971755	25.5926685
cg22105158	19	3480672	ENSG00000095932	19	3477472	25.5779631
cg24794228	19	52391166	ENSG00000161551	19	52376629	25.5626354
cg01268824	19	58220818	ENSG00000179909	19	58214657	25.4969048
cg10045137	2	25383940	ENSG00000115138	2	25387747	-25.4501876
cg23901918	10	105420747	ENSG00000107957	10	105481793	-25.4473808
cg22328208	8	98289697	ENSG00000180543	8	98287946	-25.4295839
cg01577475	2	114033533	ENSG00000189223	2	113996843	25.371046
cg15383120	6	291861	ENSG00000112679	6	321726	25.3108204
cg05185038	14	105945637	ENSG00000182809	14	105942899	-25.2847747
cg17724687	1	7887346	ENSG00000049246	1	7874808	-25.2845738
cg26356061	19	58446912	ENSG00000196724	19	58440006	25.2046948
cg21548813	6	291834	ENSG00000112679	6	321726	25.1172494
cg18795569	19	3480508	ENSG00000095932	19	3477472	25.1162704
cg00218406	6	31431359	ENSG00000206337	6	31406881	25.1123347
cg06666376	19	3480548	ENSG00000095932	19	3477472	25.0946989
cg09168692	1	7887512	ENSG00000049246	1	7874808	-25.0738873
cg17328665	1	7887151	ENSG00000049246	1	7874808	-25.021716
cg01171360	6	293285	ENSG00000112679	6	321726	24.9877118
